model,r2_score,mse,rmse,mae
ExtraTreesRegressor,0.6004926447896148,0.18599249723698924,0.43126847466165347,0.3728341081520678
GradientBoostingRegressor,0.512501882257723,0.22695700375646283,0.47640004592407714,0.43973312709698487
RandomForestRegressor,0.49873097097429353,0.23336811520517514,0.48308189285583364,0.43971857819330457
LinearRegression,-0.011988450282047314,0.47113590422841833,0.6863934033980938,0.6235779698515016
Pipeline,-1.0845880916958337,0.9704896288600781,0.9851343202122632,0.5848953599110637
LogisticRegression,-1.383967574722229,1.109867132035896,1.0535023170529318,0.9657063536057734
GradientBoostingClassifier,-1.5026726214633523,1.1651308156453966,1.0794122547226321,0.9464383364100188
RandomForestClassifier,-1.5329141219784854,1.1792098860996596,1.0859143088198349,0.9346630383697573
MLPClassifier,-1.6197499917556235,1.219636726954919,1.1043716434945796,0.9315351693067988
DecisionTreeClassifier,-1.7367163078469696,1.2740909364674928,1.1287563671880185,0.91903206563255
