model,r2_score,mse,rmse,mae
ExtraTreesRegressor,0.4927706874845127,0.23614295275458885,0.4859454215800256,0.4567378499596936
GradientBoostingRegressor,0.4688951188272724,0.24725833418523813,0.4972507759523741,0.4664416850000571
RandomForestRegressor,0.3315136598390742,0.31121690790866824,0.5578681814807762,0.5136308667752519
LinearRegression,-1.242650423315578,1.0440762785015492,1.0218005081724852,0.8400971157808037
LogisticRegression,-1.383967574668394,1.1098671320108329,1.0535023170410367,0.9657063535935679
RandomForestClassifier,-1.5184447987004681,1.1724736257161916,1.0828082128041843,0.9237304801781148
GradientBoostingClassifier,-1.58876976557031,1.2052137393477476,1.0978222712933763,0.9527525447820239
MLPClassifier,-1.6543493444367403,1.2357446156433647,1.111640506478315,0.9294070265416685
DecisionTreeClassifier,-1.9625303698958412,1.379219717612412,1.1744018552490505,0.9767251969836656
Pipeline,-9.048524850057564,4.678137225848918,2.162900188600694,1.1715577396204224
