model,r2_score,mse,rmse,mae
ExtraTreesRegressor,0.49339094731316724,0.23585418792219545,0.48564821416555776,0.45409401986211295
GradientBoostingRegressor,0.4688951188272724,0.24725833418523813,0.4972507759523741,0.4664416850000571
RandomForestRegressor,0.3315136598390742,0.31121690790866824,0.5578681814807762,0.5136308667752519
LinearRegression,-1.242650420948058,1.044076277399339,1.0218005076331382,0.840097115536949
LogisticRegression,-1.3504069545930792,1.0942428300919294,1.0460606244821231,0.9262714098394355
RandomForestClassifier,-1.5422967045825673,1.1835779908324162,1.0879237063472862,0.9403996315966905
GradientBoostingClassifier,-1.58876976557031,1.2052137393477476,1.0978222712933763,0.9527525447820239
DecisionTreeClassifier,-1.9625303698958412,1.379219717612412,1.1744018552490505,0.9767251969836656
MLPClassifier,-6.702617585241762,3.585989247147213,1.8936708391764427,1.4691319284031927
Pipeline,-9.048524848819255,4.678137225272417,2.162900188467424,1.1715577395445091
