model,r2_score,mse,rmse,mae
Pipeline,0.6716240000951772,0.15287696573903703,0.3909948410644788,0.322338236341111
ExtraTreesRegressor,0.5529005305554049,0.20814922616766768,0.4562337407159489,0.40170741773855445
RandomForestRegressor,0.4721925004785298,0.24572322290465148,0.49570477393772544,0.4577152830314418
GradientBoostingRegressor,0.4694029199418591,0.24702192502738424,0.4970130028755628,0.4588201085621863
LinearRegression,0.12084176793256252,0.4092961817000075,0.6397625979220788,0.5723643075245886
MLPClassifier,-1.4574860667364615,1.1440940060708533,1.0696233010134237,0.9964806095506387
LogisticRegression,-1.4768189607498008,1.1530945243077837,1.0738223895541494,0.9665698461159444
RandomForestClassifier,-1.55476352776087,1.1893819780314088,1.0905879047703624,0.9634881235988522
GradientBoostingClassifier,-1.609115367177667,1.2146857282895995,1.1021278184900332,0.9686265204786381
DecisionTreeClassifier,-1.7367163078469696,1.2740909364674928,1.1287563671880185,0.91903206563255
