model,r2_score,mse,rmse,mae
ExtraTreesRegressor,0.343816934580103,0.263405459428097,0.5132304155329231,0.3384987097231814
RandomForestRegressor,-0.2926292885132942,0.5188881419747992,0.7203389077196921,0.5531999818330943
GradientBoostingRegressor,-0.2949138354160519,0.5198052063707248,0.7209751773609996,0.5544392103998239
MLPClassifier,-0.8652379999514705,0.748745126492355,0.8653005989206034,0.7634492106965176
LogisticRegression,-1.7963098723172597,1.1224966407045545,1.0594794196701296,0.9611229943570153
GradientBoostingClassifier,-3.0357573450896176,1.6200365014653335,1.2728065451848265,1.1743043202250665
RandomForestClassifier,-3.381546754594094,1.7588435251083658,1.3262139816441258,1.1548417665151007
DecisionTreeClassifier,-3.3843306622317524,1.759961043235466,1.3266352336778433,1.1544376793566622
LinearRegression,-4.28178214342585,2.120216636797739,1.4560963693374622,1.1065747713247769
Pipeline,-16.561451810303534,7.049530117570638,2.6550951240154537,1.5213591469925116
