model,r2_score,mse,rmse,mae
BaggingClassifier,0.9671747901470108,0.028934247675651267,0.1701006986336366,0.12071594082132359
DecisionTreeClassifier,0.9646510029261206,0.031158875784867514,0.1765187689308633,0.12760123514696697
DecisionTreeRegressor,0.9646510029261206,0.0311588757848675,0.17651876893086327,0.1276012351469669
Pipeline,0.9645607954753268,0.031238390424229923,0.1767438554072812,0.13583046192966988
HistGradientBoostingRegressor,0.9637489780376765,0.03195397844068395,0.17875675774829872,0.13009355134010686
GradientBoostingRegressor,0.9624723097787616,0.033079315819135424,0.1818771998331166,0.13471972874811486
BaggingRegressor,0.9622878758185174,0.03324188775422466,0.18232357980860472,0.13505966304134437
RandomForestRegressor,0.9615571546836628,0.0338859922821898,0.18408148272487868,0.1360835288796262
AdaBoostRegressor,0.9541098282278563,0.04045054401419076,0.20112320605586706,0.16309756668086828
HistGradientBoostingClassifier,0.9477496454454616,0.04605681750680217,0.21460852151487875,0.15179831777114114
GradientBoostingClassifier,0.9420947159453568,0.051041435471993316,0.2259235168635468,0.15242918649641407
LogisticRegression,0.9298821073473533,0.061806412863546586,0.24860895571870814,0.21344262268849437
Lasso,0.9095613000255985,0.07971847723876635,0.2823446072422251,0.22647663875999857
ElasticNet,0.9095563058746108,0.07972287940412204,0.28235240286585495,0.22626401375711808
Ridge,0.909547846691807,0.07973033587101062,0.2823656067424123,0.2260090712371175
LinearRegression,0.9095461321885931,0.07973184714423176,0.2823682828226849,0.22600043170814293
RandomForestClassifier,0.8686981538756469,0.11573787808355235,0.34020270146421877,0.26208782861013363
SVC,0.6046667560561684,0.3484721056139061,0.5903152595130048,0.5151812542855099
KNeighborsClassifier,0.5577239548576272,0.3898505047940034,0.6243800964108348,0.443287797060663
KNeighborsRegressor,0.5577239548576272,0.3898505047940034,0.6243800964108348,0.4432877970606629
SVR,0.5412659809115821,0.4043576197988119,0.6358912012277037,0.5644149530948881
MLPClassifier,-1.7784200062282527,2.4490777962192376,1.564952969331423,1.3387863913478208
MLPRegressor,-145.87357806876398,129.46380248239984,11.378216137971709,5.661762774874681
