model,r2_score,mse,rmse,mae
HistGradientBoostingClassifier,0.9590002861653961,0.022412334806360602,0.14970749749548484,0.1227215435609336
BaggingClassifier,0.9540755623103894,0.02510441603191601,0.1584437314377442,0.13132992612134273
GradientBoostingClassifier,0.9498699780241279,0.02740338239690831,0.16553967016068477,0.14314682242025373
LogisticRegression,0.9495415521487605,0.027582915129929324,0.1660810498820661,0.1416737980846623
HistGradientBoostingRegressor,0.947173307939313,0.02887750665657953,0.1699338302298266,0.14186709655443183
RandomForestRegressor,0.946528212664242,0.02923014549072402,0.17096825872285187,0.14080080243976983
GradientBoostingRegressor,0.9440259866745122,0.030597977638754,0.17492277621497435,0.1447018413550487
BaggingRegressor,0.9414297638105794,0.03201719281408724,0.17893348712325272,0.1542501873646421
DecisionTreeRegressor,0.9403206015803819,0.03262351205226629,0.18061979972380185,0.14450964418551063
AdaBoostRegressor,0.9276927594861973,0.03952647303483418,0.19881265813532642,0.17658690408427868
Lasso,0.9255933349940115,0.040674115303981635,0.20167824697765904,0.1548233863723183
ElasticNet,0.9255435736602562,0.040701317144390424,0.2017456744130848,0.1546754391608584
Ridge,0.9254776631122714,0.040737346890223916,0.20183494962524184,0.15450885022418687
LinearRegression,0.9254765275977321,0.04073796761484983,0.20183648732290657,0.15450716895932542
Pipeline,0.9246465542100841,0.04119166935333942,0.20295730918924654,0.15264160027552492
DecisionTreeClassifier,0.8925873790040685,0.05871669333842303,0.24231527673348008,0.1847798377275271
KNeighborsRegressor,0.8552431596670406,0.07913076623268869,0.281301912955971,0.24227983772752698
KNeighborsClassifier,0.8552431596670405,0.07913076623268873,0.28130191295597107,0.24227983772752704
SVC,0.8107316656348871,0.10346280208553318,0.32165634159073125,0.27937404691805445
SVR,0.7629988052690069,0.12955578537075918,0.35993858555420144,0.299190838963702
RandomForestClassifier,0.6942705354293175,0.16712582794527459,0.4088102590998354,0.32677131678097393
MLPClassifier,-3.0826351016656295,2.2317566693234516,1.4939065129128568,1.2588313288752668
MLPRegressor,-34.415970476311614,19.360003121225382,4.400000354684688,3.30491239118932
