Sequence,Avg Points,Min Points,Max Points,Avg Bitrate (Gbps),Min Bitrate (Gbps),Max Bitrate (Gbps)
BlueBackpack,1051399,799322,1302904,1.42,1.08,1.76
BlueSpin,685044,679347,693684,0.92,0.92,0.94
BlueSquat,718167,667024,741177,0.97,0.9,1.0
CasualSpin,599669,588394,619662,0.81,0.79,0.84
CasualSquat,614419,602150,629416,0.83,0.81,0.85
ElegantDance,771714,579917,1098016,1.04,0.78,1.48
ElegantWave,661405,650731,674383,0.89,0.88,0.91
FlowerDance,755299,650961,913621,1.02,0.88,1.23
FlowerWave,691334,659972,708898,0.93,0.89,0.96
Gymnast,523078,509576,551604,0.71,0.69,0.74
HelloGoodbye,639807,133276,929588,0.86,0.18,1.25
ReadyForWinter,794317,730913,883642,1.07,0.99,1.19
