model,r2_score,mse,rmse,mae
ExtraTreesRegressor,0.49339094731316724,0.23585418792219545,0.48564821416555776,0.45409401986211295
GradientBoostingRegressor,0.4688951188272724,0.24725833418523813,0.4972507759523741,0.4664416850000571
RandomForestRegressor,0.3315136598390742,0.31121690790866824,0.5578681814807762,0.5136308667752519
LinearRegression,-1.2426502200416052,1.044076183866411,1.0218004618644538,0.8400971014370328
LogisticRegression,-1.3504069544091308,1.0942428300062914,1.0460606244411896,0.9262714098230351
RandomForestClassifier,-1.5422967045825673,1.1835779908324162,1.0879237063472862,0.9403996315966905
GradientBoostingClassifier,-1.58876976557031,1.2052137393477476,1.0978222712933763,0.9527525447820239
DecisionTreeClassifier,-1.9625303698958412,1.379219717612412,1.1744018552490505,0.9767251969836656
MLPClassifier,-2.9469520895062034,1.8375218028599853,1.3555522132547995,1.1691319284031927
Pipeline,-9.048524849588482,4.678137225630534,2.16290018855021,1.1715577395919492
