model,r2_score,mse,rmse,mae
ExtraTreesRegressor,0.7981471701127173,0.10232126396906405,0.31987695129387494,0.19788257029265907
RandomForestRegressor,0.7366401471917043,0.13349980296584996,0.36537624849714845,0.22513220922206797
GradientBoostingRegressor,0.7334662893787893,0.1351086639526239,0.3675713045826944,0.23188860127475594
Pipeline,0.21792633087885505,0.39644114172729167,0.6296357214511353,0.4525227374679613
LinearRegression,0.03481420097877164,0.48926255319775047,0.6994730539468625,0.5340542055796164
MLPClassifier,-1.0249885648018857,1.0264874145640313,1.0131571519581901,0.9515587220632817
LogisticRegression,-1.3262974751654775,1.179223982937931,1.0859207995696238,1.0368776670016695
DecisionTreeClassifier,-1.4472715455616942,1.2405469765136743,1.1137984451926992,1.0528180995665009
GradientBoostingClassifier,-1.4479613031400969,1.2408966216848312,1.1139553948362704,1.0816543600364663
RandomForestClassifier,-1.6253735083848029,1.330828683050105,1.1536154831875762,1.1119644361255232
