model,r2_score,mse,rmse,mae
Pipeline,0.1260473461462569,0.07708721312401483,0.2776458411790366,0.22791760554735116
MLPClassifier,0.11373392046625364,1.2507731508125635,1.1183796988556987,0.9258665834744191
LogisticRegression,0.10235319690539957,1.2668345840496618,1.1255374645251315,0.9389271972510156
LinearRegression,0.03653171989498227,0.08498296139863072,0.2915183723174763,0.24413593240517212
GradientBoostingClassifier,0.025099894000353062,1.3758609355219604,1.1729709866496956,1.000751074251207
GradientBoostingRegressor,-0.07356361748926576,0.09469394825755975,0.3077238181512113,0.26019369661655956
RandomForestRegressor,-0.07595703565913303,0.09490506030778567,0.30806664913259546,0.2607186378328016
ExtraTreesRegressor,-0.07633044912575215,0.09493799733630512,0.30812010212951885,0.260597378424619
DecisionTreeClassifier,-0.0763304491257546,1.5190079573808855,1.2324804085180767,1.0423895136984773
RandomForestClassifier,-0.07708299541702357,1.5200700139320715,1.2329111946657276,1.0427023823119468
