model,r2_score,mse,rmse,mae
ExtraTreesRegressor,0.2868444225491532,0.9444620491138281,0.9718343732930155,0.7835063631770465
Pipeline,0.27970520982877645,0.9539168100217471,0.9766866488397121,0.7851191815295707
LinearRegression,0.2768899267878856,0.9576452082474742,0.9785934846745477,0.7907806781090307
GradientBoostingRegressor,0.2674615103779493,0.970131658278836,0.9849526172759967,0.7937477847275579
RandomForestRegressor,0.25353657978898947,0.9885730319336936,0.9942701000903595,0.7993436878338507
GradientBoostingClassifier,-0.5140510092538637,2.0051216927646087,1.4160231964076748,1.2021926598735229
LogisticRegression,-0.530102969048774,2.0263799810253333,1.4235097404040948,1.2047351413092462
RandomForestClassifier,-0.8045539869787501,2.3898470546504944,1.5459130165214647,1.2715374771533507
MLPClassifier,-0.8449659713545761,2.4433663522331868,1.563127106870451,1.2905524185667518
DecisionTreeClassifier,-1.1946961037538624,2.9065287363280463,1.7048544619198573,1.349346167816927
