model,r2_score,mse,rmse,mae
RandomForestRegressor,0.9298091319272784,0.04885345522564408,0.22102817744722975,0.17471868042644267
BaggingRegressor,0.9240036436740859,0.05289412558957946,0.22998722918801265,0.18342558345429638
BaggingClassifier,0.9215268933907927,0.05461796534811624,0.2337048680453966,0.18182475800011355
Lasso,0.9209010794957541,0.05505353726708981,0.23463490206508028,0.2100115964393565
ElasticNet,0.9208958164107086,0.05505720042009921,0.23464270800538253,0.20975370227267898
GradientBoostingClassifier,0.9186310701810377,0.0566334835117123,0.23797790551165102,0.1945098762727956
Pipeline,0.9179351249674679,0.05711786743891221,0.23899344643506903,0.21137590883496557
HistGradientBoostingClassifier,0.9175039693224716,0.05741795552125776,0.23962044053306003,0.19190331175301303
HistGradientBoostingRegressor,0.9171060770839075,0.05769489198315165,0.24019761027777034,0.19157250784324908
DecisionTreeClassifier,0.9170888268904054,0.057706898268000774,0.24022260149286698,0.19154186278704896
DecisionTreeRegressor,0.9170888268904054,0.05770689826800076,0.24022260149286695,0.1915418627870489
Ridge,0.9164748887634705,0.05813420454898955,0.24111035761449476,0.2167574967041727
GradientBoostingRegressor,0.9141661832754869,0.05974108366707581,0.24441989212638937,0.19520326082604303
AdaBoostRegressor,0.900619447578707,0.06916972964322478,0.2630013871507616,0.2121618577333577
LinearRegression,0.8966259619577476,0.071949230400726,0.26823353705442204,0.24312765064800435
LogisticRegression,0.8927792195415016,0.07462659661027278,0.27317868989046856,0.23552351643298577
SVR,0.7737195562988406,0.15749315870178893,0.3968540773405118,0.3454210819098485
KNeighborsRegressor,0.723984131192795,0.19210944754764311,0.43830291756688444,0.31907716445585516
KNeighborsClassifier,0.723984131192795,0.19210944754764311,0.43830291756688444,0.31907716445585504
SVC,0.7092225114177073,0.20238366341847513,0.4498707185608718,0.4044154653389123
RandomForestClassifier,0.6698360174085172,0.22979700612823514,0.4793714698730361,0.36742502126077997
MLPRegressor,0.6543672680042828,0.2405633903768745,0.4904726193956952,0.4202411935146075
MLPClassifier,-3.6426931278887418,3.23135483400389,1.7975969609464437,1.505888892564755
